x,hor_1,hor_2,hor_3,hor_4
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,703.0,814.40002,847.29999,944.70001
58,703.0,814.59998,847.29999,944.70001
59,703.20001,814.70001,847.40002,944.59998
60,703.40002,814.89996,847.5,944.5
61,703.59998,815.0,847.70001,944.5
62,703.70001,815.10004,847.70001,944.5
63,703.89996,815.10004,847.70001,944.59998
64,704.10004,815.19995,847.70001,944.70001
65,704.29999,815.29999,847.59998,944.89996
66,704.5,815.5,847.59998,945.10004
67,704.70001,815.70001,847.5,945.29999
68,704.79999,816.0,847.40002,945.40002
69,704.90002,816.20001,847.29999,945.59998
70,704.90002,816.29999,847.19995,945.70001
71,705.0,816.20001,847.19995,945.90002
72,705.09998,816.20001,847.19995,946.09998
73,705.20001,816.29999,847.19995,946.30005
74,705.39996,816.39996,847.40002,946.90002
75,705.79999,816.69995,847.70001,947.79999
76,706.30005,817.30005,848.10004,949.19995
77,706.79999,818.5,848.70001,951.20001
78,707.40002,820.40002,849.5,953.89996
79,708.0,822.39996,850.29999,956.70001
80,708.70001,824.19995,851.0,959.40002
81,709.40002,825.90002,851.70001,961.90002
82,710.20001,827.79999,852.70001,964.39996
83,711.09998,830.29999,854.39996,967.19995
84,712.0,833.0,856.40002,970.09998
85,712.89996,835.60004,858.5,972.89996
86,713.79999,837.89996,860.40002,975.5
87,714.79999,840.0,862.0,977.29999
88,715.69995,841.70001,863.09998,978.39996
89,716.59998,843.10004,864.09998,979.30005
90,717.29999,844.29999,865.10004,980.0
91,717.80005,845.20001,866.0,980.79999
92,718.20001,845.79999,866.40002,981.80005
93,718.40002,846.20001,866.29999,983.0
94,718.40002,846.29999,866.0,984.09998
95,718.29999,846.09998,865.5,984.79999
96,718.20001,845.70001,865.0,985.09998
97,718.0,844.69995,864.20001,985.0
98,717.59998,843.10004,863.0,984.79999
99,717.10004,841.5,862.0,984.09998
100,716.29999,840.0,861.40002,983.09998
101,715.5,838.5,860.80005,981.70001
102,714.60004,837.0,859.70001,979.30005
103,713.79999,835.69995,857.59998,975.90002
104,713.10004,833.89996,855.5,971.70001
105,712.20001,831.90002,853.5,967.19995
106,711.39996,829.59998,851.89996,962.89996
